case,event_layer,participant_scale,duration_scale,condition_cell,event_outcome,exit_layer,step_reached,working_note,evidence,related_chapter,status
周公制礼,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格3->格1,点对了,真实,第5步跑通,诸侯可叛可留，周公以信誉绑定自身；提议者备方案，应约者真应约。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
孔子作春秋,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格3->格1,点对了，延迟300年,真实,第4步跑通，第5步延迟,纯点火者，无一兵一卒；文化协议先写好，制度硬件后人补。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
秦统一,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格2,只搭房没点火,象征,第3步未满足,制度完备，但六国遗民被强迫服从；应不是应约。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
孝文帝汉化,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,点对了,心理,第5步跑通,提议者无退出权，应约者心理退出危险，但最终认了。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
唐朝开放,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4->格4内退化,点歪了但转向成功,真实,第5步跑通但留隐患,认同建在外部锚定上，安史之乱后转向内部整合。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
元朝,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,折戟,象征,第3步未满足,四等人制是推方案的极端形态，从未建立值得应约的方案。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
清朝满汉一体,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,点歪了但转向成功,事实,第5步跑通,认同先建在部分应约者身上，汉人士绅仍有事实退出权。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
穆罕默德创伊斯兰,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格1,点对了,真实,第5步跑通,提议者可出走，应约者可拒绝或叛教，双方自由。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
美国建国,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格1,点对了,真实,第5步跑通,退出权完整，不同意可以走，走了还能活。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
阿育王皈依,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,点对了但稳定期不够,事实,第4步跑通，第5步未满足,事件跑通但固化时间不够，阿育王死后认同散了。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
英国光荣革命,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格3->格1,点歪了但转向成功,真实,第5步跑通,从王权认同逐步转向宪政认同。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
阿拔斯革命,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格1,点歪了但转向成功,真实,第5步跑通,革命承诺未完全兑现，但新认同在运行中被修正。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
蒙古帝国,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格6,从未点火,象征,第2步未满足,提议者无意识，应约者无退出权，纯暴力事件。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
卡拉卡拉普发公民权,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格2,点反了,象征,第3步未满足,旧身份被拆，新认同未建。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
乌鲁卡吉纳改革,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格3,点对了但被外力碾碎,真实,第4步跑通，第5步被中断,事件走向健康，但被外部征服中断，属于边界提醒。,dianhuo/03-evidence/cases/all-cases-71.md,book/05-limits.md,working_hypothesis
米尼兹统一埃及,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,只搭房没点火,事实,第3步部分满足,制度统一，但认同没有跟上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
君士坦丁基督教化,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,点对了但稳定期不够,事实,第4步跑通，第5步部分满足,事件跑通，但固化期不够厚。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
笈多王朝,civilization,P6 civilizational_population,T5/T6 century_to_millennial,格4,点对了但薄,事实,第5步跑通但厚度不足,认同建立但不够深，外力一来就散。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
新中国成立,nation,P5 national_population,T3/T4/T5 yearly_to_century,格4,点对了,事实,第5步跑通,农民有事实退出权，但户籍和计划经济限制真实退出。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
改革开放,nation,P5 national_population,T3/T4/T5 yearly_to_century,格8->格7->格3,点火中,事实->真实,第4步进行中,提议者从无意识到有意识，退出权从事实到真实。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
日本大化改新,nation,P5 national_population,T3/T4/T5 yearly_to_century,格4,点对了但薄,事实,第5步跑通但厚度不足,学唐朝制度，但认同未充分跟上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
日本明治维新,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3->格1内退化,点歪了未转向,真实,第5步跑通但隐患反噬,认同建在天皇权威上，外部锚定最终反噬。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
新加坡建国,nation,P5 national_population,T3/T4/T5 yearly_to_century,格1,点对了,真实,第5步跑通,小国寡民，退出权真实，认同建在生存危机感上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
德国社会市场经济,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3,点对了,真实,第5步跑通,废墟上搭房和点火同步。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
法国大革命,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3,负时间差但补回来了,真实,第4步跑通但有真空期,先拆旧再建新，真空期危险但最终补回。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
戈尔巴乔夫改革,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3,负时间差、崩盘,真实,第3步未满足,法国大革命的镜像，旧的拆了，新的没补上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
戊戌变法,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3,负时间差、103天崩盘,象征,第2步刚起步就被反杀,事件还没跑起来就被旧系统反杀。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
俄罗斯休克疗法,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3->格3内退化,负时间差,真实,第3步未满足,经济学版本的负时间差。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
日本战后改革,nation,P5 national_population,T3/T4/T5 yearly_to_century,格2->格1,点歪了但转向成功,真实,第5步跑通,麦克阿瑟推方案，日本被动接受后逐步转向自主认同。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
彼得大帝西化,nation,P5 national_population,T3/T4/T5 yearly_to_century,格4->格2内退化,点不足,事实,第3步部分满足,只改精英认同，底层没跟上。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
海尔·塞拉西,nation,P5 national_population,T3/T4/T5 yearly_to_century,格2->格2内退化,点不足+方向错误,事实,第3步未满足,提议者自身退化，信息回路断裂且权力腐蚀。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
雅典民主改革,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3->格1,点对了,真实,第5步跑通,公民可流亡可拒绝参与，但排除奴隶和女性。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
希拉克略改革,nation,P5 national_population,T3/T4/T5 yearly_to_century,格3,点反了,真实,第3步未满足,军区制与希腊化拆旧认同但未建新认同。,dianhuo/03-evidence/cases/all-cases-71.md,book/03-cases.md,working_hypothesis
