case_number,case_name,verification_marker,event_layer,participant_scale,duration_scale,condition_cell,responder_state,event_outcome,exit_layer,step_reached,working_note,evidence,related_chapter,status
1,周公制礼,,civilizational_population,P6 civilizational_population,T5,格3→格1,积极,点对了,真实,第5步跑通,诸侯可叛可留，周公以信誉绑定自身，应约者走得了且选择留下,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
2,孔子作春秋,,civilizational_population,P6 civilizational_population,T6,格3→格1,消极→积极,点对了,真实,第4步跑通，第5步延迟300年,儒生可择主而仕，百家争鸣=思想市场有退出空间，软件先写好硬件后人补,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
3,秦统一,,civilizational_population,P6 civilizational_population,T5,格2,无人,只搭房没点火,象征,第3步未满足,"六国遗民""可以离开""但离开等于死，象征退出权=强制力的优雅版本",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
4,孝文帝汉化,,civilizational_population,P6 civilizational_population,T5,格4,积极,点对了,心理,第5步跑通,鲜卑贵族无退出权（迁都后回不去），但心理上主动认同汉文化，认同未退出验证但心理应约真实,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
5,唐朝开放,,civilizational_population,P6 civilizational_population,T5,格4→格4内退化,积极→消极,点歪了但转向成功,真实,第5步跑通但留隐患,异族可来可走，认同经退出权验证但建在外部，安史之乱后转向内部整合,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
6,元朝,,civilizational_population,P6 civilizational_population,T5,格4,无人,折戟,象征,第3步未满足,四等人制下汉人退出代价被制度设计到不可承受，从未建立值得应约的方案,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
7,清朝满汉一体,,civilizational_population,P6 civilizational_population,T5,格4,积极,点歪了但转向成功,事实,第5步跑通,"科举制让汉人""可以不考""但事实上不考=放弃上升通道",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
8,穆罕默德创伊斯兰,,civilizational_population,P6 civilizational_population,T6,格1,积极,点对了,真实,第5步跑通,"乌马成员可离开部落，""信教即成员""=真实退出权下的真实应约",dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
9,美国建国,,civilizational_population,P6 civilizational_population,T5,格1,积极,点对了,真实,第5步跑通,移民可来可走，宪法保障退出权,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
10,阿育王皈依,,civilizational_population,P6 civilizational_population,T5,格4,积极,点对了但稳定期不够,事实,第4步跑通，第5步未满足,种姓制度事实上锁定社会位置，认同靠阿育王个人权威维持,dianhuo/03-evidence/cases/all-cases-event-condition-matrix-2026-06-07.md,book/03-cases.md,working_hypothesis
