source_file,case_id,case_name,reason,all_fields
1912446035934849608_点火统一案例总表20260610版_碰撞层完整更新_97案例.md,,"#82,#83,#84,#85,#86,#89,#90,#91,#92,#93,#95,#96,#97",empty ID or name,"{""案例名称"": ""#82,#83,#84,#85,#86,#89,#90,#91,#92,#93,#95,#96,#97"", ""状态"": ""点着了·活着""}"
1912446035934849608_点火统一案例总表20260610版_碰撞层完整更新_97案例.md,,"#87确定性≠正确性,#94五条正反馈",empty ID or name,"{""案例名称"": ""#87确定性≠正确性,#94五条正反馈"", ""状态"": ""点着了·灭了""}"
1912446035934849608_点火统一案例总表20260610版_碰撞层完整更新_97案例.md,,—,empty ID or name,"{""案例名称"": ""—"", ""状态"": ""点着了·在退化""}"
1912446035934849608_点火统一案例总表20260610版_碰撞层完整更新_97案例.md,,—,empty ID or name,"{""案例名称"": ""—"", ""状态"": ""没点着""}"
1912448059938486448_点火统一案例总表20260610版_碰撞层完整更新_102案例.md,,"#82,#83,#84,#85,#86,#89,#90,#91,#92,#93,#95,#96,#97,#98,#100,#102",empty ID or name,"{""案例名称"": ""#82,#83,#84,#85,#86,#89,#90,#91,#92,#93,#95,#96,#97,#98,#100,#102"", ""状态"": ""点着了·活着""}"
1912448059938486448_点火统一案例总表20260610版_碰撞层完整更新_102案例.md,,"#87确定性≠正确性,#94五条正反馈,#99自锁结构,#101确定性误解律",empty ID or name,"{""案例名称"": ""#87确定性≠正确性,#94五条正反馈,#99自锁结构,#101确定性误解律"", ""状态"": ""点着了·灭了""}"
1912448059938486448_点火统一案例总表20260610版_碰撞层完整更新_102案例.md,,—,empty ID or name,"{""案例名称"": ""—"", ""状态"": ""点着了·在退化""}"
1912448059938486448_点火统一案例总表20260610版_碰撞层完整更新_102案例.md,,—,empty ID or name,"{""案例名称"": ""—"", ""状态"": ""没点着""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P1,中年职场人被AI替代,duplicate ID,"{""案例ID"": ""P1"", ""案例名称"": ""中年职场人被AI替代"", ""事件层级"": ""L₁""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P2,个人部署AI Agent,duplicate ID,"{""案例ID"": ""P2"", ""案例名称"": ""个人部署AI Agent"", ""事件层级"": ""L₁""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P3,远程团队文化退化,duplicate ID,"{""案例ID"": ""P3"", ""案例名称"": ""远程团队文化退化"", ""事件层级"": ""L₂""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P4,创业团队格1→格2,duplicate ID,"{""案例ID"": ""P4"", ""案例名称"": ""创业团队格1→格2"", ""事件层级"": ""L₂""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P5,大厂创新部门伪ε,duplicate ID,"{""案例ID"": ""P5"", ""案例名称"": ""大厂创新部门伪ε"", ""事件层级"": ""L₃""}"
1912448721363450032_点火统一案例总表20260610版_129案例完整版.md,P6,Anthropic认同张力,duplicate ID,"{""案例ID"": ""P6"", ""案例名称"": ""Anthropic认同张力"", ""事件层级"": ""L₃""}"
