source_file,function_id,function_name,reason,all_fields
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,72,,empty ID or name,"{""函数ID"": ""72"", ""状态"": ""没点着·火种还在""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,73,,empty ID or name,"{""函数ID"": ""73"", ""状态"": ""没点着·火种还在""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,74,,empty ID or name,"{""函数ID"": ""74"", ""状态"": ""点着了·活着""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,75,,empty ID or name,"{""函数ID"": ""75"", ""状态"": ""没点着·火种还在""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,76,,empty ID or name,"{""函数ID"": ""76"", ""状态"": ""没点着·火种也没了""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,77,,empty ID or name,"{""函数ID"": ""77"", ""状态"": ""—""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,78,,empty ID or name,"{""函数ID"": ""78"", ""状态"": ""点着了·在退化""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,79,,empty ID or name,"{""函数ID"": ""79"", ""状态"": ""点着了·在退化""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,80,,empty ID or name,"{""函数ID"": ""80"", ""状态"": ""没点着·火种也没了""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,81,,empty ID or name,"{""函数ID"": ""81"", ""状态"": ""没点着·火种还在""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,82,,empty ID or name,"{""函数ID"": ""82"", ""状态"": ""没点着·火种也没了""}"
1912432913736841320_点火统一案例总表20260610版_收敛更新.md,83,,empty ID or name,"{""函数ID"": ""83"", ""状态"": ""点着了·活着""}"
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X9,情绪信号分层函数,duplicate ID,"{""函数ID"": ""D-X9"", ""函数名称"": ""情绪信号分层函数""}"
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X10,情绪稳态临界函数,duplicate ID,"{""函数ID"": ""D-X10"", ""函数名称"": ""情绪稳态临界函数""}"
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X11,情绪注入ε函数,duplicate ID,"{""函数ID"": ""D-X11"", ""函数名称"": ""情绪注入ε函数""}"
1912445412092030880_点火统一函数总表20260610版_碰撞层完整更新_63条.md,D-X12,法条净效应函数,duplicate ID,"{""函数ID"": ""D-X12"", ""函数名称"": ""法条净效应函数""}"
